datetime,temp,Wind1,WinDir,GHI,Ampacity
1/1/2021 0:00,22.0,38.9,30.0,0.0,1390
1/1/2021 1:00,22.9,28.8,360.0,0.0,1560
1/1/2021 2:00,33.0,33.1,14.0,0.0,1430
1/1/2021 3:00,23.0,37.1,30.0,0.0,1360
1/1/2021 4:00,32.8,32.4,360.0,0.0,1610
1/1/2021 5:00,22.3,40.3,21.0,0.0,1400
1/1/2021 6:00,33.0,35.3,20.0,52.0,1360
1/1/2021 7:00,23.0,35.6,21.0,222.4,1340
1/1/2021 8:00,34.0,37.1,30.0,426.6,1330
1/1/2021 9:00,24.0,35.3,20.0,590.8,1320
1/1/2021 10:00,34.39999999999997,37.9,360.0,690.0,1630
1/1/2021 11:00,25.0,40.7,30.0,680.5,1340
1/1/2021 12:00,26.0,42.5,30.0,617.8,1350
1/1/2021 13:00,24.3,28.8,360.0,530.5,1510
1/1/2021 14:00,25.0,38.9,30.0,372.6,1340
1/1/2021 15:00,25.0,37.1,30.0,220.8,1330
1/1/2021 16:00,33.7,25.2,360.0,74.7,1490
1/1/2021 17:00,34.0,37.1,30.0,5.0,1360
1/1/2021 18:00,24.0,40.7,30.0,0.0,1390
1/1/2021 19:00,23.5,36.0,360.0,0.0,1650
1/1/2021 20:00,34.0,38.9,20.0,0.0,1390
1/1/2021 21:00,24.0,38.9,20.0,0.0,1390
1/1/2021 22:00,32.9,35.9,360.0,0.0,1650
1/1/2021 23:00,34.0,38.9,20.0,0.0,1390
1/2/2021 0:00,24.0,33.5,20.0,0.0,1340
1/2/2021 1:00,33.5,14.4,360.0,0.0,1290
1/2/2021 2:00,24.0,35.3,20.0,0.0,1350
1/2/2021 3:00,24.0,33.5,20.0,0.0,1340
1/2/2021 4:00,23.4,28.5,21.0,0.0,1270
1/2/2021 5:00,24.0,27.7,10.0,0.0,1410
1/2/2021 6:00,24.0,31.7,20.0,42.3,1310
1/2/2021 7:00,24.4,18.0,360.0,169.8,1350
1/2/2021 8:00,34.99999999999993,31.7,30.0,321.0,1270
1/2/2021 9:00,27.0,29.5,20.0,444.1,1240
1/2/2021 10:00,25.4,32.0,360.0,527.5,1550
1/2/2021 11:00,27.0,33.5,30.0,533.0,1260
1/2/2021 12:00,35.99999999999986,29.5,30.0,550.3,1230
1/2/2021 13:00,26.2,28.8,360.0,513.3,1490
1/2/2021 14:00,27.0,27.7,40.0,444.4,1350
1/2/2021 15:00,35.99999999999986,31.7,30.0,298.8,1270
1/2/2021 16:00,24.5,25.7,27.0,136.9,1180
1/2/2021 17:00,34.0,31.7,40.0,9.7,1450
1/2/2021 18:00,34.99999999999993,27.7,40.0,0.0,1390
1/2/2021 19:00,24.5,25.7,21.0,0.0,1230
1/2/2021 20:00,25.0,25.9,30.0,0.0,1230
1/2/2021 21:00,34.0,29.5,30.0,0.0,1280
1/2/2021 22:00,23.7,26.2,14.0,0.0,1340
1/2/2021 23:00,34.0,27.7,20.0,0.0,1270
1/3/2021 0:00,24.0,27.7,30.0,0.0,1260
1/3/2021 1:00,23.7,28.1,14.0,0.0,1370
1/3/2021 2:00,34.0,25.9,20.0,0.0,1250
1/3/2021 3:00,34.0,27.7,20.0,0.0,1270
1/3/2021 4:00,23.7,26.9,14.0,0.0,1350
1/3/2021 5:00,24.0,27.7,30.0,0.0,1260
1/3/2021 6:00,34.0,27.7,20.0,60.5,1270
1/3/2021 7:00,24.4,19.9,14.0,259.8,1230
1/3/2021 8:00,35.99999999999986,24.1,20.0,473.0,1180
1/3/2021 9:00,36.99999999999979,25.9,20.0,656.8,1180
1/3/2021 10:00,36.19999999999984,23.3,21.0,788.3,1130
1/3/2021 11:00,36.99999999999979,31.7,30.0,844.8,1220
1/3/2021 12:00,28.0,29.5,30.0,828.0,1190
1/3/2021 13:00,27.2,27.0,21.0,735.8,1170
1/3/2021 14:00,28.0,27.7,30.0,578.0,1190
1/3/2021 15:00,36.99999999999979,22.3,40.0,374.6,1270
1/3/2021 16:00,35.699999999999875,24.5,34.0,154.6,1250
1/3/2021 17:00,26.0,20.5,40.0,10.4,1280
1/3/2021 18:00,34.99999999999993,29.5,40.0,0.0,1410
1/3/2021 19:00,34.699999999999946,23.3,21.0,0.0,1200
1/3/2021 20:00,25.0,25.9,40.0,0.0,1370
1/3/2021 21:00,34.99999999999993,25.9,30.0,0.0,1230
1/3/2021 22:00,34.499999999999964,22.2,21.0,0.0,1180
1/3/2021 23:00,25.0,25.9,30.0,0.0,1230
1/4/2021 0:00,25.0,25.9,40.0,0.0,1370
1/4/2021 1:00,34.499999999999964,18.0,360.0,0.0,1360
1/4/2021 2:00,25.0,24.1,30.0,0.0,1210
1/4/2021 3:00,34.99999999999993,29.5,30.0,0.0,1270
1/4/2021 4:00,24.7,23.3,360.0,0.0,1450
1/4/2021 5:00,24.0,29.5,30.0,0.0,1280
1/4/2021 6:00,34.99999999999993,24.1,30.0,48.7,1200
1/4/2021 7:00,34.699999999999946,26.9,21.0,183.2,1230
1/4/2021 8:00,24.0,25.9,30.0,315.8,1220
1/4/2021 9:00,24.0,24.1,20.0,431.3,1200
1/4/2021 10:00,34.0,24.7,360.0,534.3,1450
1/4/2021 11:00,34.0,27.7,30.0,562.3,1220
1/4/2021 12:00,25.0,33.5,30.0,474.1,1280
1/4/2021 13:00,35.49999999999989,18.0,360.0,367.1,1330
1/4/2021 14:00,35.99999999999986,20.5,20.0,272.6,1150
1/4/2021 15:00,34.99999999999993,18.4,30.0,166.2,1120
1/4/2021 16:00,34.899999999999935,25.2,360.0,60.5,1480
1/4/2021 17:00,24.0,24.1,30.0,3.8,1210
1/4/2021 18:00,24.0,24.1,20.0,0.0,1230
1/4/2021 19:00,34.19999999999998,28.1,21.0,0.0,1260
1/4/2021 20:00,34.99999999999993,25.9,30.0,0.0,1230
1/4/2021 21:00,34.99999999999993,29.5,30.0,0.0,1270
1/4/2021 22:00,24.8,26.9,21.0,0.0,1240
1/4/2021 23:00,34.99999999999993,25.9,20.0,0.0,1240
1/5/2021 0:00,34.99999999999993,22.3,20.0,0.0,1200
1/5/2021 1:00,24.5,21.6,360.0,0.0,1430
1/5/2021 2:00,25.0,24.1,10.0,0.0,1350
1/5/2021 3:00,25.0,22.3,20.0,0.0,1200
1/5/2021 4:00,34.499999999999964,18.0,360.0,0.0,1360
1/5/2021 5:00,25.0,24.1,30.0,0.0,1210
1/5/2021 6:00,34.99999999999993,20.5,20.0,29.2,1170
1/5/2021 7:00,24.8,25.7,21.0,118.7,1220
1/5/2021 8:00,34.99999999999993,24.1,20.0,230.6,1200
1/5/2021 9:00,34.99999999999993,25.9,20.0,366.0,1220
1/5/2021 10:00,24.9,23.4,21.0,479.0,1170
1/5/2021 11:00,34.99999999999993,25.9,30.0,535.3,1190
1/5/2021 12:00,34.99999999999993,27.7,40.0,544.8,1360
1/5/2021 13:00,35.299999999999905,10.8,360.0,523.0,1150
1/5/2021 14:00,25.0,25.9,40.0,446.4,1340
1/5/2021 15:00,35.99999999999986,25.9,30.0,280.0,1200
1/5/2021 16:00,35.699999999999875,22.2,360.0,110.3,1420
1/5/2021 17:00,35.99999999999986,22.3,40.0,7.8,1310
1/5/2021 18:00,26.0,29.5,30.0,0.0,1260
1/5/2021 19:00,35.49999999999989,14.4,360.0,0.0,1270
1/5/2021 20:00,35.99999999999986,24.1,20.0,0.0,1210
1/5/2021 21:00,35.99999999999986,22.3,30.0,0.0,1170
1/5/2021 22:00,34.699999999999946,24.7,21.0,0.0,1210
1/5/2021 23:00,34.99999999999993,24.1,30.0,0.0,1210
1/6/2021 0:00,34.99999999999993,18.4,40.0,0.0,1250
1/6/2021 1:00,34.699999999999946,10.8,360.0,0.0,1190
1/6/2021 2:00,25.0,20.5,20.0,0.0,1170
1/6/2021 3:00,34.99999999999993,20.5,20.0,0.0,1170
1/6/2021 4:00,24.5,18.0,360.0,0.0,1360
1/6/2021 5:00,24.0,24.1,40.0,0.0,1350
1/6/2021 6:00,23.0,29.5,40.0,50.7,1430
1/6/2021 7:00,33.0,14.4,360.0,225.1,1280
1/6/2021 8:00,23.0,35.3,40.0,430.4,1480
1/6/2021 9:00,23.0,27.7,30.0,571.0,1230
1/6/2021 10:00,23.9,24.5,14.0,662.3,1280
1/6/2021 11:00,34.99999999999993,24.1,30.0,681.3,1160
1/6/2021 12:00,34.0,22.3,20.0,623.3,1160
1/6/2021 13:00,23.9,18.6,14.0,546.0,1190
1/6/2021 14:00,34.0,24.1,20.0,434.5,1200
1/6/2021 15:00,24.0,25.9,30.0,274.5,1220
1/6/2021 16:00,24.5,24.6,21.0,104.9,1210
1/6/2021 17:00,34.99999999999993,25.9,30.0,7.4,1230
1/6/2021 18:00,34.0,25.9,30.0,0.0,1240
1/6/2021 19:00,23.9,21.6,360.0,0.0,1430
